 -0.51 9.19 3.30 1.76 3.85 9.38 7.83 2.71 14.35 11.42 -8.73 6.25 -5.49 3.99 4.29 0.21 -6.57 2.87 10.46 4.08 7.00 15.96 6.96 5.04 7.09 0.61 6.33 4.83 6.79 9.82
 -1.16 8.05 2.83 1.19 3.52 9.14 8.52 2.77 14.49 10.88 -8.42 5.67 -5.06 3.39 4.49 -0.00 -7.38 3.52 11.34 4.62 7.36 16.88 7.91 5.11 7.37 0.19 6.73 5.38 7.94 9.89
 -1.29 7.54 3.08 1.23 3.49 9.62 9.58 3.50 15.02 10.77 -7.67 5.60 -3.94 3.23 4.84 0.55 -7.81 4.49 12.48 5.23 8.19 18.27 9.17 5.25 7.95 -0.08 7.20 6.22 9.20 10.17
 -0.88 7.57 3.73 1.64 4.13 10.20 11.02 4.60 15.78 11.20 -6.22 5.93 -2.50 3.65 5.79 1.61 -7.28 5.63 14.07 6.53 9.40 19.56 10.80 6.01 9.02 0.73 8.35 7.73 10.86 11.29
 -0.78 7.44 4.57 1.90 4.30 10.76 12.57 5.28 16.63 11.58 -4.72 6.20 -1.28 4.38 6.43 2.51 -6.85 6.70 15.56 7.66 10.57 21.11 12.26 6.34 9.97 1.11 8.84 8.73 12.54 12.16
 0.03 7.98 5.95 2.71 5.10 11.75 14.53 6.60 17.80 12.62 -2.60 6.87 0.48 5.71 7.51 3.98 -5.63 7.94 17.27 9.25 12.04 22.83 14.18 7.00 11.18 2.13 10.05 10.30 14.54 13.67
 0.94 8.77 7.59 3.79 6.11 13.01 16.53 7.76 18.89 13.73 -0.34 7.80 2.37 7.30 8.80 5.73 -4.05 9.17 19.01 11.00 13.66 24.49 15.98 7.79 12.55 3.42 11.18 11.86 16.56 15.30
 1.74 9.76 9.23 4.72 6.87 14.03 18.68 8.81 20.36 15.12 1.88 8.74 4.11 9.18 9.92 7.34 -2.34 10.33 20.79 12.76 15.23 26.17 17.83 8.26 13.88 4.72 12.26 13.32 18.58 17.13
 3.04 10.96 11.05 6.20 7.95 15.34 20.80 10.24 21.57 16.44 4.53 9.96 6.39 11.31 11.23 9.40 -0.26 11.38 22.30 14.54 16.73 27.64 19.58 8.88 15.12 6.19 13.27 14.95 20.37 18.82
 4.33 12.28 13.21 7.69 9.15 16.72 23.24 11.63 23.28 18.23 7.30 11.45 8.49 13.83 12.82 11.44 2.26 12.87 24.08 16.65 18.40 29.34 21.53 9.63 16.67 7.98 14.57 16.64 22.53 20.84
 5.48 13.29 15.10 9.10 10.13 17.78 25.40 12.72 24.78 19.88 9.95 12.71 10.35 16.31 14.05 13.27 4.56 13.96 25.48 18.27 19.90 30.67 23.13 10.14 17.84 9.40 15.49 17.99 24.41 22.42
 6.85 14.46 16.87 10.56 11.16 18.93 27.25 13.73 26.21 21.34 12.18 13.97 12.02 18.67 15.38 15.03 6.66 14.80 26.59 19.84 21.08 31.79 24.46 10.40 18.96 10.77 16.41 19.27 25.91 23.82
 7.70 14.98 18.09 11.72 11.61 19.37 28.66 14.32 27.18 22.43 14.10 14.84 13.29 20.50 16.13 16.21 8.44 15.25 27.17 20.73 21.88 32.10 25.27 10.30 19.36 11.74 16.65 19.88 26.74 24.54
 9.04 15.96 19.65 13.40 12.55 20.40 30.17 15.36 28.53 23.75 16.06 16.10 14.76 22.57 17.31 17.65 10.36 15.91 27.83 21.89 22.79 32.85 26.29 10.55 20.25 12.91 17.39 20.76 27.80 25.55
 10.39 16.58 21.07 15.07 13.45 21.26 31.70 16.17 29.91 25.19 18.15 17.33 16.09 24.63 18.53 18.98 12.00 16.71 28.51 23.14 23.92 33.49 27.31 10.92 20.92 14.14 18.38 21.63 29.01 26.40
 11.25 16.76 21.89 16.27 13.79 21.53 32.60 16.51 30.59 26.03 19.38 18.02 16.78 26.23 19.25 19.69 13.20 16.96 28.67 23.67 24.32 33.63 27.63 10.82 21.14 14.63 18.47 21.94 29.58 26.66
 11.63 16.39 21.96 16.81 13.69 21.18 32.43 16.45 30.54 25.93 19.98 18.13 16.93 26.67 19.39 19.83 13.51 16.60 27.90 23.58 23.98 32.82 27.33 10.48 20.64 14.86 18.24 21.67 29.19 26.10
 12.05 15.98 22.24 17.51 13.51 20.95 32.71 16.37 30.77 26.22 20.52 18.42 16.90 27.54 19.41 19.83 13.89 16.72 27.47 23.58 24.03 32.52 27.08 10.22 20.35 14.94 17.96 21.41 29.07 25.80
 12.92 16.04 22.92 18.68 14.05 21.34 32.95 16.82 31.28 26.62 21.43 19.05 17.55 28.58 19.95 20.31 14.26 17.06 27.22 23.85 24.48 32.53 27.34 10.64 20.36 15.50 18.32 21.64 29.21 25.71
 12.39 14.61 22.08 18.19 12.99 20.22 32.09 15.87 30.32 25.95 21.11 18.18 16.68 28.23 19.09 19.28 13.42 16.26 25.77 22.96 23.55 31.46 26.30 9.55 19.12 14.62 17.18 20.53 28.16 24.54
 12.89 14.01 22.39 18.68 13.13 20.17 32.00 15.90 30.27 26.09 21.73 18.32 16.86 28.97 19.26 19.21 13.46 16.53 25.38 23.14 23.66 31.28 26.24 9.78 18.81 14.69 17.38 20.42 28.30 24.10
 12.42 12.79 21.60 18.17 12.32 19.28 30.65 14.97 29.15 25.13 20.96 17.50 16.10 28.19 18.34 18.17 12.52 15.91 23.68 22.14 22.73 30.00 24.92 9.29 17.75 13.97 16.40 19.31 27.00 22.78
 12.90 12.31 21.93 18.65 12.67 19.45 30.54 15.17 29.05 25.31 21.75 17.58 16.29 28.75 18.65 18.12 12.69 16.41 23.50 22.38 23.00 30.09 25.05 9.76 17.69 14.17 16.80 19.27 27.22 22.52
 11.92 10.56 20.97 17.64 11.50 18.30 29.06 13.80 27.75 24.20 20.62 16.42 15.13 27.89 17.34 16.74 11.40 15.54 21.66 21.20 21.98 28.89 23.69 8.85 16.32 12.92 15.59 17.88 25.99 21.00
 12.41 10.09 21.08 17.75 11.75 18.34 28.37 13.82 27.19 24.03 20.86 16.26 15.22 27.88 17.17 16.59 11.54 15.90 20.92 21.05 21.82 28.48 23.40 9.32 16.02 13.03 15.62 17.46 25.64 20.42
 11.13 8.20 19.90 16.36 10.51 17.01 26.66 12.28 25.48 22.70 19.72 14.82 13.83 26.54 15.68 14.97 10.27 14.96 19.05 19.61 20.57 27.11 21.84 8.45 14.63 11.65 14.33 15.81 24.24 18.71
 11.27 7.60 20.04 16.41 10.67 17.08 25.98 12.12 24.89 22.53 19.78 14.60 13.68 26.34 15.42 14.59 10.22 15.25 18.36 19.34 20.52 26.97 21.61 8.77 14.32 11.44 14.37 15.32 24.10 18.12
 10.48 6.19 19.29 15.60 10.15 16.18 24.52 11.07 23.44 21.63 19.09 13.56 12.76 25.40 14.36 13.44 9.45 14.73 16.78 18.37 19.63 25.89 20.49 8.25 13.22 10.51 13.60 14.02 23.07 16.68
 9.48 4.55 18.62 14.52 9.39 15.35 23.20 9.81 22.12 20.72 18.20 12.35 11.54 24.37 13.09 12.11 8.44 14.09 15.17 17.22 18.74 25.03 19.28 7.52 12.01 9.29 12.71 12.47 22.09 15.18
 8.62 3.50 17.89 13.61 8.83 14.46 21.72 8.81 20.71 19.84 17.32 11.41 10.45 23.25 12.07 11.10 7.76 13.57 13.85 16.27 17.98 24.07 18.21 7.15 11.06 8.32 12.01 11.30 21.10 13.94
